taxid,rel_abundance
Amaricoccus tamworthensis,0.0056363458910794455
Anaerolinea thermolimosa,0.005026351747023229
Anoxybacillus tepidamans,0.005514347062268202
Aquabacterium olei,0.005172750341596721
Arboricoccus pini,0.01812902596135077
Aridibacter nitratireducens,0.008417919187975796
Bryobacter aggregatus,0.010638297872340425
Caldilinea aerophila,0.041796798750731994
Chiayiivirga flava,0.006953933242240875
Defluviicoccus vanus,0.04028401327347258
Defluviimonas aquaemixtae,0.008783915674409526
Denitratisoma oestradiolicum,0.061951005270349406
Derxia gummosa,0.00666113605309389
Desulfonatronobacter acidivorans,0.010638297872340425
Desulfonatronum cooperativum,0.016738239312902595
Desulfotomaculum nigrificans,0.012517079836033574
Geobacter metallireducens,0.015152254538356431
Geopsychrobacter electrodiphilus,0.00849111848526254
Haliscomenobacter hydrossis,0.1055533866874878
Helicobacter anseris,0.01744583252000781
Hyphomicrobium denitrificans,0.009906304899472964
Hyphomicrobium nitrativorans,0.012004684755026352
Lacihabitans lacunae,0.008466718719500292
Methylocaldum szegediense,0.017860628537966036
Methyloversatilis discipulorum,0.02056900253757564
Nitrosospira multiformis,0.01966621120437244
Oceanibaculum indicum,0.014737458520398204
Paludibaculum fermentans,0.007319929728674604
Phaeodactylibacter luteus,0.03994241655280109
Piscinibacter defluvii,0.014176263907866485
Portibacter lacus,0.1535233261760687
Povalibacter uvarum,0.030499707202810852
Prosthecomicrobium pneumaticum,0.028450126878781963
Ramlibacter tataouinensis,0.006173140737848916
Rhodobacter thermarum,0.005782744485652937
Rhodoferax saidenbachensis,0.008173921530353309
Rhodovulum mangrovi,0.008393519422213547
Roseomonas oryzicola,0.00722233066562561
Sorangium cellulosum,0.01166308803435487
Terrimonas soli,0.04760394300214718
Terrimonas terrae,0.06107261370290845
Thermostilla marina,0.025717353113410113
Zoogloea resiniphila,0.029572516103845405
